name,slug,symbol,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
Octoin Coin,octoin-coin,OCC,2018-11-29,1040,18.31,21.45,13.74,18.03,1975470.0,1762393.0,1.0,10.86
Odyssey,odyssey,OCN,2018-11-29,160,0.077004,0.110556,0.066739,0.079477,127341000.0,78247700.0,1.0,0.04
Olive,olive,OLE,2018-11-29,816,0.014205,0.014331,0.013285,0.014229,1103150.0,3628509.0,1.0,0.01
Olympic,olympic,OLMP,2018-11-29,1685,0.001072,0.00182,0.000918,0.001071,1210.0,8466.0,0.9963,0.0
Olympus Labs,olympus-labs,MOT,2018-11-29,505,3.26,3.3,2.36,3.25,46647800.0,42204445.0,1.0,1.42
OmenCoin,omencoin,OMEN,2018-11-29,1982,0.013024,0.028494,0.012506,0.021968,5659.0,0.0,0.9993,0.02
OmiseGO,omisego,OMG,2018-11-29,27,25.72,28.35,22.92,25.72,675097984.0,2624228304.0,1.0,8.59
Omni,omni,OMNI,2018-11-29,665,187.13,228.93,172.45,186.7,46142700.0,115656543.0,1.0,121.81
Omnitude,omnitude,ECOM,2018-11-29,604,0.116368,0.12719,0.110476,0.117075,3359900.0,5596572.0,1.0,0.04
On.Live,on-live,ONL,2018-11-29,690,0.132853,0.184919,0.123849,0.13289,194203.0,2873376.0,1.0,0.1
Ondori,ondori,RSTR,2018-11-29,668,0.000131,0.000135,8.8e-05,0.000132,102925.0,4700470.0,1.0,0.0
OneLedger,oneledger,OLT,2018-11-29,742,0.053004,0.066459,0.049458,0.053014,52169200.0,11638869.0,1.0,0.02
OneRoot Network,oneroot-network,RNT,2018-11-29,205,0.146977,0.167048,0.136856,0.146332,28527500.0,35892405.0,1.0,0.07
Onix,onix,ONX,2018-11-29,1554,0.478163,0.550928,0.439526,0.495245,884035.0,13585964.0,1.0,0.26
Ontology,ontology,ONT,2018-11-29,25,10.08,11.18,9.36,10.07,507808992.0,1299028552.0,1.0,2.67
Opal,opal,OPAL,2018-11-29,1375,0.235456,1.21,0.121114,0.235036,139028.0,3559348.0,1.0,1.21
Open Platform,open-platform,OPEN,2018-11-29,1226,0.265464,0.298084,0.247336,0.267063,5367840.0,4910602.0,1.0,0.1
Open Trading Network,open-trading-network,OTN,2018-11-29,926,53.4,57.16,45.44,53.21,17748600.0,83789655.0,1.0,38.65
OptiToken,optitoken,OPTI,2018-11-29,792,0.616031,0.618218,0.351273,0.616237,127510.0,14438490.0,1.0,0.33
Optimal Shelf Availability Token,optimal-shelf-availability-token,OSA,2018-11-29,184,0.111832,0.163192,0.108415,0.112678,17605400.0,24498873.0,0.8977,0.07
Opus,opus,OPT,2018-11-29,889,0.199678,0.306681,0.165112,0.211669,905853.0,29650710.0,1.0,0.27
OracleChain,oraclechain,OCT,2018-11-29,595,1.12,1.35,1.03,1.1,548116.0,33034200.0,1.0,0.61
Orbis Token,orbis-token,OBT,2018-11-29,1479,0.026622,0.026955,0.023386,0.026633,2857.0,510470.0,1.0,0.02
Orbitcoin,orbitcoin,ORB,2018-11-29,1335,1.27,1.41,1.19,1.27,54686.0,3974155.0,1.0,1.2
Ordocoin,ordocoin,RDC,2018-11-29,1893,7.7e-05,0.000107,7.1e-05,7.6e-05,306189.0,0.0,1.0,0.0
Origami,origami,ORI,2018-11-29,1427,1.39,1.69,0.864673,1.4,887246.0,5927979.0,1.0,0.88
Origin Sport,origin-sport,ORS,2018-11-29,999,0.160928,0.185253,0.152549,0.161191,5564300.0,6415556.0,0.9819,0.04
OriginTrail,origintrail,TRAC,2018-11-29,357,0.423941,0.478831,0.404309,0.428571,5158430.0,85412876.0,1.0,0.13
Ormeus Coin,ormeus-coin,ORME,2018-11-29,661,5.0,5.3,4.52,4.99,14896600.0,52067660.0,1.0,2.25
Ourcoin,ourcoin,OUR,2018-11-29,1720,1.09,5.28,0.931268,1.24,105183.0,142832.0,1.0,4.74
Own,own,CHX,2018-11-29,279,0.156248,0.164779,0.126534,0.155877,413109.0,8830754.0,1.0,0.07
Oxycoin,oxycoin,OXY,2018-11-29,695,0.005302,0.006301,0.00445,0.005307,100930.0,3850403.0,0.9968,0.0
Oyster,oyster,PRL,2018-11-29,1183,3.87,4.85,3.21,3.92,21379800.0,190672597.0,1.0,2.05
PACcoin,paccoin,$PAC,2018-11-29,419,0.016133,0.017045,0.01415,0.016189,49384200.0,715615024.0,1.0,0.0
PAWS Fund,paws-fund,PAWS,2018-11-29,1940,4.69,4.7,2.3,3.04,50385.0,0.0,0.9706,3.64
PAXEX,paxex,PAXEX,2018-11-29,1147,0.015015,0.083452,0.011012,0.014815,2433.0,177417.0,1.0,0.08
PAYCENT,paycent,PYN,2018-11-29,643,0.187419,0.221914,0.143576,0.180947,71952.0,4918812.0,1.0,0.08
PCHAIN,pchain,PAI,2018-11-29,332,0.205899,0.221843,0.188332,0.204872,8262920.0,29533972.0,1.0,0.1
PHI Token,phi-token,PHI,2018-11-29,1274,0.61108,0.654663,0.597172,0.597172,58338.0,2257028.0,1.0,0.32
PIVX,pivx,PIVX,2018-11-29,88,13.75,14.56,12.44,13.9,288136000.0,768985320.0,1.0,5.99
PKG Token,pkg-token,PKG,2018-11-29,1129,0.000539,0.000586,0.000503,0.000542,873931.0,619065.0,1.0,0.0
PLATINCOIN,platincoin,PLC,2018-11-29,1748,4.91,5.12,4.89,4.92,2677360.0,0.0,1.0,1.09
PLNcoin,plncoin,PLNC,2018-11-29,1699,0.012219,0.02907,0.010028,0.012191,31082.0,170086.0,1.0,0.03
POA Network,poa-network,POA,2018-11-29,273,0.845138,0.952471,0.743469,0.839784,79376200.0,171709703.0,1.0,0.22
POLY AI,poly-ai,AI,2018-11-29,1733,21.7,21.76,19.74,21.65,6662350.0,5848665.0,1.0,7.26
POPCHAIN,popchain,PCH,2018-11-29,593,0.036357,0.038214,0.034211,0.035746,2183480.0,9821732.0,1.0,0.01
PRASM,prasm,PSM,2018-11-29,666,0.004473,0.004688,0.004266,0.004533,930176.0,4262783.0,1.0,0.0
PRCoin,prcoin,PRC,2018-11-29,1178,0.050813,0.055384,0.045378,0.050697,120324.0,343628.0,1.0,0.03
PRIZM,prizm,PZM,2018-11-29,219,2.87,2.89,1.17,2.87,86479.0,59797238.0,1.0,2.07
PROUD Money,proud-money,PROUD,2018-11-29,2016,3.51,5.94,0.718305,3.51,35827.0,0.0,1.0,5.55
PRiVCY,privcy,PRIV,2018-11-29,1458,0.0722,0.072613,0.071428,0.07218,44310.0,424905.0,1.0,0.03
PWR Coin,powercoin,PWR,2018-11-29,1304,0.000696,0.001143,0.000577,0.000695,390966.0,1085633.0,1.0,0.0
